grade,total_loans,total_charge_offs,charge_off_share_pct
C,105987,22449,28.901935035340465
D,63524,18338,23.609233581810926
B,116018,14587,18.78001364695583
E,31488,11765,15.14683352001339
F,11772,5037,6.484878915453246
A,64187,4036,5.1961428038056985
G,3054,1461,1.880962496620447
