grade,total_loans,charge_offs,charge_off_rate_pct,avg_interest_rate_pct,avg_loan_amount
A,64187,4036,6.28787760761525,7.392853537320642,13294.73452568277
B,116018,14587,12.573049009636437,11.223130807288523,12895.710794876657
C,105987,22449,21.180899544283733,14.317992395293762,13761.337003594781
D,63524,18338,28.86782948177067,17.48452836723128,14695.402918581953
E,31488,11765,37.36344004065041,20.283006859756096,17723.595496697155
F,11772,5037,42.78797145769623,23.701144240570844,19211.50611620795
G,3054,1461,47.83889980353634,25.90435166994106,20879.95252128356
